 0.000	  0.00	  0.00
 0.001	  0.00	  0.01
 0.002	  0.00	  0.02
 0.003	  0.00	  0.03
 0.004	  0.00	  0.04
 0.005	  0.00	  0.05
 0.006	  0.00	  0.06
 0.007	  0.00	  0.07
 0.008	  0.00	  0.08
 0.009	  0.00	  0.09
 0.010	  0.00	  0.10
 0.011	  0.00	  0.11
 0.012	  0.00	  0.12
 0.013	  0.00	  0.13
 0.014	  0.00	  0.14
 0.015	  0.00	  0.15
 0.016	  0.00	  0.16
 0.017	  0.00	  0.17
 0.018	  0.00	  0.18
 0.019	  0.00	  0.19
 0.020	  0.00	  0.20
 0.021	  0.00	  0.21
 0.022	  0.00	  0.22
 0.023	  0.00	  0.23
 0.024	  0.00	  0.24
 0.025	  0.00	  0.25
 0.026	  0.00	  0.26
 0.027	  0.00	  0.26
 0.028	  0.00	  0.27
 0.029	  0.00	  0.28
 0.030	  0.00	  0.29
 0.031	  0.00	  0.30
 0.032	  0.00	  0.31
 0.033	  0.01	  0.32
 0.034	  0.01	  0.33
 0.035	  0.01	  0.34
 0.036	  0.01	  0.35
 0.037	  0.01	  0.36
 0.038	  0.01	  0.37
 0.039	  0.01	  0.38
 0.040	  0.01	  0.39
 0.041	  0.01	  0.40
 0.042	  0.01	  0.41
 0.043	  0.01	  0.42
 0.044	  0.01	  0.43
 0.045	  0.01	  0.44
 0.046	  0.01	  0.45
 0.047	  0.01	  0.46
 0.048	  0.01	  0.47
 0.049	  0.01	  0.48
 0.050	  0.01	  0.49
 0.051	  0.01	  0.50
 0.052	  0.01	  0.51
 0.053	  0.01	  0.52
 0.054	  0.01	  0.53
 0.055	  0.01	  0.54
 0.056	  0.02	  0.55
 0.057	  0.02	  0.56
 0.058	  0.02	  0.57
 0.059	  0.02	  0.58
 0.060	  0.02	  0.59
 0.061	  0.02	  0.60
 0.062	  0.02	  0.61
 0.063	  0.02	  0.62
 0.064	  0.02	  0.63
 0.065	  0.02	  0.64
 0.066	  0.02	  0.65
 0.067	  0.02	  0.66
 0.068	  0.02	  0.67
 0.069	  0.02	  0.68
 0.070	  0.02	  0.69
 0.071	  0.02	  0.70
 0.072	  0.03	  0.71
 0.073	  0.03	  0.72
 0.074	  0.03	  0.73
 0.075	  0.03	  0.74
 0.076	  0.03	  0.75
 0.077	  0.03	  0.76
 0.078	  0.03	  0.77
 0.079	  0.03	  0.77
 0.080	  0.03	  0.78
 0.081	  0.03	  0.79
 0.082	  0.03	  0.80
 0.083	  0.03	  0.81
 0.084	  0.03	  0.82
 0.085	  0.04	  0.83
 0.086	  0.04	  0.84
 0.087	  0.04	  0.85
 0.088	  0.04	  0.86
 0.089	  0.04	  0.87
 0.090	  0.04	  0.88
 0.091	  0.04	  0.89
 0.092	  0.04	  0.90
 0.093	  0.04	  0.91
 0.094	  0.04	  0.92
 0.095	  0.04	  0.93
 0.096	  0.04	  0.94
 0.097	  0.05	  0.95
 0.098	  0.05	  0.96
 0.099	  0.05	  0.97
 0.100	  0.05	  0.98
 0.101	  0.05	  0.99
 0.102	  0.05	  1.00
 0.103	  0.05	  1.01
 0.104	  0.05	  1.02
 0.105	  0.05	  1.03
 0.106	  0.05	  1.04
 0.107	  0.06	  1.05
 0.108	  0.06	  1.06
 0.109	  0.06	  1.07
 0.110	  0.06	  1.08
 0.111	  0.06	  1.09
 0.112	  0.06	  1.10
 0.113	  0.06	  1.11
 0.114	  0.06	  1.12
 0.115	  0.06	  1.13
 0.116	  0.07	  1.14
 0.117	  0.07	  1.15
 0.118	  0.07	  1.16
 0.119	  0.07	  1.17
 0.120	  0.07	  1.18
 0.121	  0.07	  1.19
 0.122	  0.07	  1.20
 0.123	  0.07	  1.21
 0.124	  0.07	  1.22
 0.125	  0.08	  1.23
 0.126	  0.08	  1.24
 0.127	  0.08	  1.25
 0.128	  0.08	  1.26
 0.129	  0.08	  1.27
 0.130	  0.08	  1.28
 0.131	  0.08	  1.29
 0.132	  0.08	  1.29
 0.133	  0.09	  1.30
 0.134	  0.09	  1.31
 0.135	  0.09	  1.32
 0.136	  0.09	  1.33
 0.137	  0.09	  1.34
 0.138	  0.09	  1.35
 0.139	  0.09	  1.36
 0.140	  0.10	  1.37
 0.141	  0.10	  1.38
 0.142	  0.10	  1.39
 0.143	  0.10	  1.40
 0.144	  0.10	  1.41
 0.145	  0.10	  1.42
 0.146	  0.10	  1.43
 0.147	  0.11	  1.44
 0.148	  0.11	  1.45
 0.149	  0.11	  1.46
 0.150	  0.11	  1.47
 0.151	  0.11	  1.48
 0.152	  0.11	  1.49
 0.153	  0.11	  1.50
 0.154	  0.12	  1.51
 0.155	  0.12	  1.52
 0.156	  0.12	  1.53
 0.157	  0.12	  1.54
 0.158	  0.12	  1.55
 0.159	  0.12	  1.56
 0.160	  0.12	  1.57
 0.161	  0.13	  1.58
 0.162	  0.13	  1.59
 0.163	  0.13	  1.60
 0.164	  0.13	  1.61
 0.165	  0.13	  1.62
 0.166	  0.13	  1.63
 0.167	  0.14	  1.64
 0.168	  0.14	  1.65
 0.169	  0.14	  1.66
 0.170	  0.14	  1.67
 0.171	  0.14	  1.68
 0.172	  0.14	  1.69
 0.173	  0.15	  1.70
 0.174	  0.15	  1.71
 0.175	  0.15	  1.72
 0.176	  0.15	  1.73
 0.177	  0.15	  1.74
 0.178	  0.15	  1.75
 0.179	  0.16	  1.76
 0.180	  0.16	  1.77
 0.181	  0.16	  1.78
 0.182	  0.16	  1.79
 0.183	  0.16	  1.80
 0.184	  0.17	  1.80
 0.185	  0.17	  1.81
 0.186	  0.17	  1.82
 0.187	  0.17	  1.83
 0.188	  0.17	  1.84
 0.189	  0.17	  1.85
 0.190	  0.18	  1.86
 0.191	  0.18	  1.87
 0.192	  0.18	  1.88
 0.193	  0.18	  1.89
 0.194	  0.18	  1.90
 0.195	  0.19	  1.91
 0.196	  0.19	  1.92
 0.197	  0.19	  1.93
 0.198	  0.19	  1.94
 0.199	  0.19	  1.95
 0.200	  0.20	  1.96
 0.201	  0.20	  1.97
 0.202	  0.20	  1.98
 0.203	  0.20	  1.99
 0.204	  0.20	  2.00
 0.205	  0.21	  2.01
 0.206	  0.21	  2.02
 0.207	  0.21	  2.03
 0.208	  0.21	  2.04
 0.209	  0.21	  2.05
 0.210	  0.22	  2.06
 0.211	  0.22	  2.07
 0.212	  0.22	  2.08
 0.213	  0.22	  2.09
 0.214	  0.22	  2.10
 0.215	  0.23	  2.11
 0.216	  0.23	  2.12
 0.217	  0.23	  2.13
 0.218	  0.23	  2.14
 0.219	  0.23	  2.15
 0.220	  0.24	  2.16
 0.221	  0.24	  2.17
 0.222	  0.24	  2.18
 0.223	  0.24	  2.19
 0.224	  0.24	  2.20
 0.225	  0.25	  2.21
 0.226	  0.25	  2.22
 0.227	  0.25	  2.23
 0.228	  0.25	  2.24
 0.229	  0.26	  2.25
 0.230	  0.26	  2.26
 0.231	  0.26	  2.27
 0.232	  0.26	  2.28
 0.233	  0.27	  2.29
 0.234	  0.27	  2.30
 0.235	  0.27	  2.31
 0.236	  0.27	  2.31
 0.237	  0.27	  2.32
 0.238	  0.28	  2.33
 0.239	  0.28	  2.34
 0.240	  0.28	  2.35
 0.241	  0.28	  2.36
 0.242	  0.29	  2.37
 0.243	  0.29	  2.38
 0.244	  0.29	  2.39
 0.245	  0.29	  2.40
 0.246	  0.30	  2.41
 0.247	  0.30	  2.42
 0.248	  0.30	  2.43
 0.249	  0.30	  2.44
 0.250	  0.31	  2.45
 0.251	  0.31	  2.46
 0.252	  0.31	  2.47
 0.253	  0.31	  2.48
 0.254	  0.32	  2.49
 0.255	  0.32	  2.50
 0.256	  0.32	  2.51
 0.257	  0.32	  2.52
 0.258	  0.33	  2.53
 0.259	  0.33	  2.54
 0.260	  0.33	  2.55
 0.261	  0.33	  2.56
 0.262	  0.34	  2.57
 0.263	  0.34	  2.58
 0.264	  0.34	  2.59
 0.265	  0.34	  2.60
 0.266	  0.35	  2.61
 0.267	  0.35	  2.62
 0.268	  0.35	  2.63
 0.269	  0.35	  2.64
 0.270	  0.36	  2.65
 0.271	  0.36	  2.66
 0.272	  0.36	  2.67
 0.273	  0.36	  2.68
 0.274	  0.37	  2.69
 0.275	  0.37	  2.70
 0.276	  0.37	  2.71
 0.277	  0.37	  2.72
 0.278	  0.38	  2.73
 0.279	  0.38	  2.74
 0.280	  0.38	  2.75
 0.281	  0.39	  2.76
 0.282	  0.39	  2.77
 0.283	  0.39	  2.78
 0.284	  0.39	  2.79
 0.285	  0.40	  2.80
 0.286	  0.40	  2.81
 0.287	  0.40	  2.81
 0.288	  0.41	  2.82
 0.289	  0.41	  2.83
 0.290	  0.41	  2.84
 0.291	  0.41	  2.85
 0.292	  0.42	  2.86
 0.293	  0.42	  2.87
 0.294	  0.42	  2.88
 0.295	  0.43	  2.89
 0.296	  0.43	  2.90
 0.297	  0.43	  2.91
 0.298	  0.43	  2.92
 0.299	  0.44	  2.93
 0.300	  0.44	  2.94
 0.301	  0.44	  2.95
 0.302	  0.45	  2.96
 0.303	  0.45	  2.97
 0.304	  0.45	  2.98
 0.305	  0.45	  2.99
 0.306	  0.46	  3.00
 0.307	  0.46	  3.01
 0.308	  0.46	  3.02
 0.309	  0.47	  3.03
 0.310	  0.47	  3.04
 0.311	  0.47	  3.05
 0.312	  0.48	  3.06
 0.313	  0.48	  3.07
 0.314	  0.48	  3.08
 0.315	  0.49	  3.09
 0.316	  0.49	  3.10
 0.317	  0.49	  3.11
 0.318	  0.49	  3.12
 0.319	  0.50	  3.13
 0.320	  0.50	  3.14
 0.321	  0.50	  3.15
 0.322	  0.51	  3.16
 0.323	  0.51	  3.17
 0.324	  0.51	  3.18
 0.325	  0.52	  3.19
 0.326	  0.52	  3.20
 0.327	  0.52	  3.21
 0.328	  0.53	  3.22
 0.329	  0.53	  3.23
 0.330	  0.53	  3.24
 0.331	  0.54	  3.25
 0.332	  0.54	  3.26
 0.333	  0.54	  3.27
 0.334	  0.55	  3.28
 0.335	  0.55	  3.29
 0.336	  0.55	  3.30
 0.337	  0.56	  3.30
 0.338	  0.56	  3.31
 0.339	  0.56	  3.32
 0.340	  0.57	  3.33
 0.341	  0.57	  3.34
 0.342	  0.57	  3.35
 0.343	  0.58	  3.36
 0.344	  0.58	  3.37
 0.345	  0.58	  3.38
 0.346	  0.59	  3.39
 0.347	  0.59	  3.40
 0.348	  0.59	  3.41
 0.349	  0.60	  3.42
 0.350	  0.60	  3.43
 0.351	  0.60	  3.44
 0.352	  0.61	  3.45
 0.353	  0.61	  3.46
 0.354	  0.61	  3.47
 0.355	  0.62	  3.48
 0.356	  0.62	  3.49
 0.357	  0.62	  3.50
 0.358	  0.63	  3.51
 0.359	  0.63	  3.52
 0.360	  0.63	  3.53
 0.361	  0.64	  3.54
 0.362	  0.64	  3.55
 0.363	  0.64	  3.56
 0.364	  0.65	  3.57
 0.365	  0.65	  3.58
 0.366	  0.66	  3.59
 0.367	  0.66	  3.60
